2026-03-08 07:09:15,005 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(1); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:09:41,035 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(2); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:10:09,392 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(3); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:10:35,439 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(4); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:11:01,492 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(5); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:11:27,754 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(6); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:11:53,781 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(7); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:12:19,854 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(8); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:12:45,939 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(9); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:13:12,000 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(10); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:13:38,019 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(11); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:14:04,096 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(12); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:14:30,166 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(13); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:14:56,953 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(14); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
2026-03-08 07:15:22,975 | 87131 | 140107131627328 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(15); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7f6c6a5d0c20>
