2026-04-15 07:36:48 | ModelManager | INFO | Auto-detected model architecture: input_dim=26 hidden_dim=96 num_layers=2
2026-04-15 07:36:48 | ModelManager | INFO | Loaded model checkpoint from v3_pipeline/models/trained_models/v3_us_stocks.pth
Loaded trained model: v3_us_stocks
2026-04-15 07:36:48 | TechnicalIndicatorGenerator | WARNING | TA-Lib unavailable, using pandas fallback indicators: No module named 'talib'
2026-04-15 07:37:09,123 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(1); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:37:35,146 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(2); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:38:04,746 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(3); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:38:30,752 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(4); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:38:56,842 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(5); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:39:22,865 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(6); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:39:52,511 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(7); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:40:18,608 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(8); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:40:44,613 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(9); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:41:10,634 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(10); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:41:40,230 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(11); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:42:06,260 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(12); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:42:32,292 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(13); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:42:58,313 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(14); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:43:27,954 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(15); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:43:54,051 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(16); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:44:20,084 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(17); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:44:46,098 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(18); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:45:15,696 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(19); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:45:41,788 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(20); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
